sedalea,sedaleaname,stateabb,cs_mn_avg_eb,cs_mn_avg_eb_se_adj,year,tot_asmts,cellcount,mn_asmts
3304030,Jaffrey-Rindge Cooperative School District,NH,-0.0104053069564614,0.038276863759775,2019,615,6,102.5
1713500,Edwards County CUSD 1,IL,0.186905474028539,0.038354294077468,2019,730,12,60.83333333333334
3020670,Pine Creek Elementary,MT,0.5720186751389373,0.0478746333814772,2019,46,10,4.6
606960,Caliente Union Elementary,CA,-0.5334388814046043,0.0557203085044207,2019,46,10,4.6
2908250,Center 58,MO,-0.3933105047494091,0.0281126257250618,2019,2294,11,208.5454545454545
4110560,Riverdale SD 51J,OR,1.15003986815626,0.0436396969429119,2019,594,12,49.5
3904837,Springfield Local,OH,0.4472040514560074,0.0336552360630689,2019,770,10,77.0
5309330,Wahkiakum School District,WA,-0.0442077060723508,0.0414348614642472,2019,448,12,37.33333333333334
2923430,Ozark R-VI,MO,0.4541778947597374,0.0222117211279105,2019,4939,11,449.0
3404200,East Newark School District,NJ,-0.1072808810696301,0.0437125411922436,2019,236,9,26.22222222222222
604740,Berkeley Unified,CA,0.3481120105149835,0.0225203535053924,2019,7128,10,712.8
3175510,Pierce Public Schools,NE,0.4256831363294254,0.0346703325479741,2019,576,12,48.0
1201410,Okeechobee,FL,-0.0971734543560313,0.0201362508667601,2019,4904,10,490.4
600026,El Tejon Unified,CA,-0.4605593739073527,0.0394660815989395,2019,462,10,46.2
2200240,City of Bogalusa School District,LA,-0.9385567325815138,0.0273171071712944,2019,1846,12,153.8333333333333
4206240,Coatesville Area SD,PA,-0.4530926518113627,0.0238123132946356,2019,4742,12,395.1666666666667
3904859,Fort Recovery Local,OH,0.5753103220590873,0.0367505899825394,2019,702,10,70.2
2718960,Martin County West School District,MN,0.0650085499297802,0.0339058819097034,2019,670,12,55.83333333333334
4222710,Saint Clair Area SD,PA,0.0523598956189812,0.0380204831555581,2019,648,12,54.0
4203240,Bellefonte Area SD,PA,0.2521132498930614,0.0270080945453102,2019,2307,12,192.25
4222170,South Eastern SD,PA,0.2486565902619032,0.0260970366786135,2019,2341,12,195.0833333333333
513530,Vilonia School District,AR,-0.0022414818022215,0.0268395307334852,2019,2884,12,240.3333333333333
3806930,Flasher 39,ND,0.2468520338805472,0.0518454871218599,2019,182,12,15.16666666666667
2718360,Lyle Public School District,MN,-0.4714926351564583,0.0459874965637059,2019,210,10,21.0
1715780,Franklin Park SD 84,IL,0.3383363053767728,0.0385803229832316,2019,1196,8,149.5
2300062,East Machias Public Schools,ME,-0.4072382526619517,0.0538570061288631,2019,130,7,18.57142857142857
2604620,Bellaire Public Schools,MI,0.0126475997800728,0.0482907550126115,2019,216,8,27.0
2728380,Pine City Public School District,MN,-0.0096139066911583,0.0281483151540158,2019,1441,12,120.0833333333333
5507560,La Farge School District,WI,-0.2523965433410963,0.0519346648879084,2019,150,10,15.0
4206660,Connellsville Area SD,PA,-0.212222374653105,0.0272442611820236,2019,2775,9,308.3333333333333
3818500,Turtle Lake-Mercer 72,ND,0.0424992512194158,0.0567062137626706,2019,156,12,13.0
4837740,Roma ISD,TX,0.0859309476107102,0.0227135723979967,2019,3607,8,450.875
636800,Sierra Sands Unified,CA,-0.2741732735974337,0.0212859100275624,2019,5077,12,423.0833333333333
5514940,Tomahawk School District,WI,0.0518410194566673,0.0327021354319995,2019,1094,12,91.16666666666669
4021600,Ninnekah,OK,0.0473742410472201,0.0358705504341432,2019,458,12,38.16666666666666
2009390,McPherson,KS,-0.1285388172126714,0.0265387135054933,2019,2073,12,172.75
2617880,Hartford Public Schools,MI,-0.5508249903382485,0.0312751114499378,2019,1214,12,101.1666666666667
4204920,Canton Area SD,PA,-0.0057057408270615,0.0366368238194213,2019,818,12,68.16666666666667
4846530,Wylie ISD,TX,0.4837220267954126,0.019392783513271,2019,10416,8,1302.0
3407920,Kenilworth School District,NJ,-0.0826248743187402,0.0306875418956092,2019,1143,11,103.9090909090909
1726250,Miller Twp CCSD 210,IL,0.0751778708419897,0.0510998805291326,2019,281,12,23.41666666666667
4225680,West Mifflin Area SD,PA,-0.0282938373483457,0.0333385335532229,2019,1467,8,183.375
1907410,Clarke Community School District,IA,-0.3621723887832886,0.0351375718328972,2019,1288,12,107.3333333333333
4845180,West Sabine ISD,TX,-0.2025810835045034,0.0420102511815925,2019,362,8,45.25
2802280,Jones County School District,MS,0.0304880529117449,0.017350538443439,2019,8029,12,669.0833333333334
2011880,St Francis Comm Schools,KS,0.2185898307343705,0.0457469778779486,2019,212,12,17.66666666666667
2105460,Southgate Independent,KY,-0.0945969462882336,0.0515036651986184,2019,232,12,19.33333333333333
1741550,West Chicago ESD 33,IL,-0.4917299887707034,0.0232780043495566,2019,5130,12,427.5
3805340,Drayton 19,ND,-0.0013576699941879,0.0539416210482264,2019,146,10,14.6
4823040,Hermleigh ISD,TX,-0.4635306650234254,0.0505773879574686,2019,155,8,19.375
2100300,Barren County,KY,0.0672480982408016,0.0219927630748035,2019,4483,12,373.5833333333333
608970,Cloverdale Unified,CA,-0.464187784015899,0.0304925020576814,2019,1296,12,108.0
4100016,Yamhill Carlton SD 1,OR,0.10033779627043,0.03726833658575,2019,750,11,68.18181818181819
2615060,Freeland Community School District,MI,0.3616751348723814,0.0282869934616434,2019,1801,12,150.0833333333333
3100010,Anselmo-Merna Public Schools,NE,0.2004780860059288,0.0440683566878023,2019,256,12,21.33333333333333
4819050,Fannindel ISD,TX,-0.44787770803466,0.0588837826881982,2019,77,8,9.625
4225950,Wyoming Valley West SD,PA,-0.2642393952043425,0.0241341918125744,2019,4178,11,379.8181818181818
4817880,East Chambers ISD,TX,-0.0776313960881403,0.0314048733315788,2019,905,8,113.125
5308940,Tonasket School District,WA,-0.275565036249703,0.0336155732751276,2019,1081,12,90.08333333333331
4032640,White Rock,OK,-0.4730117888886678,0.0643176411334834,2019,77,11,7.0
600062,Oakdale Joint Unified,CA,-0.1258519378722296,0.020925675972597,2019,4717,12,393.0833333333333
3020790,Pioneer Elementary,MT,-0.1104127392989002,0.0481473962664464,2019,60,10,6.0
633840,Sacramento City Unified,CA,-0.3777166665013204,0.016583073017122,2019,43465,12,3622.083333333333
3904700,Reynoldsburg City,OH,-0.1756325854695681,0.0215114243603408,2019,5948,10,594.8
635700,Santa Monica-Malibu Unified,CA,0.5068308509597078,0.0204355135571845,2019,9197,12,766.4166666666666
627780,Nuview Union,CA,-0.3548945366115464,0.0251969142112586,2019,2079,12,173.25
4900060,Beaver District,UT,0.3928114508624624,0.0288668793038609,2019,1255,12,104.5833333333333
2926970,Cole County R-I,MO,0.2017221153354755,0.0406499145037321,2019,491,11,44.63636363636363
1919710,Moravia Community School District,IA,-0.1521076542987196,0.0515827621502779,2019,368,12,30.66666666666667
5602820,Fremont County School District #21,WY,-0.6601311591977879,0.036639553016494,2019,509,12,42.41666666666666
3820190,Wishek 19,ND,0.1550766366536614,0.0505138988149662,2019,174,10,17.4
2508940,Northbridge,MA,0.1005400713847522,0.0267913225650905,2019,2013,12,167.75
4900900,San Juan District,UT,-0.5210991549632541,0.0287027519611858,2019,2794,12,232.8333333333333
1700065,Saunemin CCSD 438,IL,0.0298468133748803,0.0558788508079316,2019,128,12,10.66666666666667
4203390,Benton Area SD,PA,0.1379391669491739,0.037134845026627,2019,618,12,51.5
4636150,Iroquois School District 02-3,SD,-0.4001525538652689,0.0439400075836633,2019,220,12,18.33333333333333
2927570,Savannah R-III,MO,0.168816412677211,0.0278285054218386,2019,1961,11,178.2727272727273
3303540,Hampton Falls School District,NH,0.7297151293219376,0.0492205258166169,2019,300,12,25.0
4216860,New Hope-Solebury SD,PA,0.6808913198524144,0.029914446938736,2019,1268,12,105.6666666666667
3023520,Savage Elementary,MT,-0.0043250761037583,0.0465386242895613,2019,90,12,7.5
631470,Portola Valley Elementary,CA,1.073523911038772,0.0392180321084293,2019,744,12,62.0
1736750,South Holland SD 151,IL,-0.5739174662882663,0.0263396976646662,2019,2215,12,184.5833333333333
2919380,Macks Creek R-V,MO,-0.1078602337702442,0.0480106711083547,2019,288,11,26.18181818181818
3100097,Morrill Public Schools,NE,-0.1270554652284329,0.0427194862225661,2019,350,12,29.16666666666667
4819500,Follett ISD,TX,0.0486130692319528,0.0564347790542713,2019,88,8,11.0
2803360,Ocean Springs School District,MS,0.3304953368390381,0.0191132073119898,2019,5586,12,465.5
3905019,Liberty Local,OH,-0.1240809048489692,0.0315831673294186,2019,951,10,95.1
504740,County Line School District,AR,0.1837350643865383,0.0439995384218176,2019,460,12,38.33333333333334
601423,Exeter Unified,CA,-0.3645476229912472,0.0248557260835737,2019,2570,12,214.1666666666667
3904495,Vandalia-Butler City,OH,0.1547189043468775,0.0261115803905429,2019,2185,10,218.5
2007020,Hays,KS,0.1915745931553812,0.0248219582800191,2019,2729,12,227.4166666666667
3404710,Emerson Public School District,NJ,0.4135798862568851,0.0351298896323966,2019,821,10,82.1
4215900,Morrisville Borough SD,PA,-0.3478349728924752,0.0373171551283565,2019,694,10,69.4
4213710,Ligonier Valley SD,PA,0.042640137579629,0.0313017810833399,2019,1293,12,107.75
1809720,Rossville Consolidated School District,IN,0.2503649742281076,0.0341609600911782,2019,858,12,71.5
3174040,Mullen Public Schools,NE,0.4967565082768216,0.0467127233374996,2019,126,12,10.5
3405520,Franklin Township School District,NJ,0.4547312480615266,0.0486391777161485,2019,191,7,27.28571428571428
624000,Mark West Union Elementary,CA,0.0269251383994572,0.0274556217409005,2019,1672,12,139.3333333333333
3304040,Kearsarge Regional School District,NH,0.3525584448309981,0.0278895609679975,2019,1598,12,133.1666666666667
2307140,Kittery Public Schools,ME,0.2423230352900636,0.0323226563763349,2019,956,12,79.66666666666667
2908320,Johnson County R-VII,MO,-0.1471193553610752,0.0422012932644651,2019,443,11,40.27272727272727
1724480,Kaneland CUSD 302,IL,0.0835631330137958,0.0233776752830323,2019,4016,12,334.6666666666667
400295,Kingman Unified School District (79598),AZ,-0.3299280736847082,0.0218077029897208,2019,6990,11,635.4545454545455
506060,Camden Fairview School District,AR,-0.7355733930612891,0.0286968134005389,2019,2309,12,192.4166666666667
2101230,Clay County,KY,0.0873302326908068,0.0253782363629774,2019,2904,12,242.0
2312960,Tremont Public Schools,ME,0.2056505982901698,0.049926609984856,2019,146,12,12.16666666666667
3700530,Cabarrus County Schools,NC,0.1804708888680683,0.016082307321213,2019,34233,12,2852.75
637230,Sonora Elementary,CA,-0.0312680244593518,0.0307807252257327,2019,948,12,79.0
2011640,Shawnee Mission Pub Schools,KS,0.3052866330267489,0.0162348169792139,2019,23966,12,1997.166666666667
1713240,East Peoria SD 86,IL,-0.0839154911100831,0.02862599316469,2019,2017,12,168.0833333333333
2925410,Polo R-VII,MO,0.0647113272555351,0.0472613210108841,2019,320,11,29.09090909090909
4817960,Eastland ISD,TX,-0.043710870047447,0.0350414673188289,2019,656,8,82.0
617190,Hillsborough City Elementary,CA,0.959961611604208,0.0321355269217457,2019,1901,12,158.4166666666667
4222620,Springfield Township SD,PA,0.5180125529317343,0.0268947745198632,2019,2339,12,194.9166666666667
1303150,Jones County,GA,-0.0940173139000736,0.0210056198389994,2019,4933,12,411.0833333333333
1739600,Tuscola CUSD 301,IL,0.0641476247020712,0.0339496474054529,2019,857,12,71.41666666666667
3305940,Rochester School District,NH,0.1902657846708224,0.0208618320993978,2019,3007,10,300.7
3904821,Ottawa Hills Local,OH,0.892267151198786,0.0346336863334424,2019,778,10,77.8
1930720,West Bend-Mallard Community School District,IA,0.1731413669794239,0.0549842699125441,2019,272,12,22.66666666666667
3904865,Switzerland of Ohio Local,OH,-0.216507945924692,0.029733864156969,2019,1432,10,143.2
1301470,Cook County,GA,-0.3599629231835105,0.0248411528126828,2019,2820,12,235.0
4205700,Chartiers Valley SD,PA,0.2988126124288086,0.0256391752850513,2019,2889,12,240.75
1918720,Marshalltown Community School District,IA,-0.3862598028207965,0.024724164911934,2019,4649,12,387.4166666666667
4846650,Yorktown ISD,TX,-0.3845621462396812,0.0414422331835223,2019,317,8,39.625
4021510,Newcastle,OK,0.1013565191420816,0.0254493914356544,2019,1911,12,159.25
1601140,Fruitland District,ID,-0.0249846104842369,0.0310025397074328,2019,1370,10,137.0
618990,John Swett Unified,CA,-0.6044575950183613,0.0331848677785405,2019,1215,12,101.25
500082,Lawrence County School District,AR,-0.3596850390053391,0.0370318789933912,2019,857,12,71.41666666666667
2009840,Mulvane,KS,0.0931017709870221,0.0284234263474864,2019,1656,12,138.0
1721750,Lake Forest SD 67,IL,0.8166278526997574,0.0315563418196648,2019,1313,7,187.5714285714286
2508730,North Attleborough,MA,0.3940701310348263,0.0227444125453835,2019,4067,12,338.9166666666667
4820700,Gilmer ISD,TX,-0.2392817471623137,0.0300145610850508,2019,1511,8,188.875
4833240,Nueces Canyon CISD,TX,-0.1833284133413458,0.0498731042823432,2019,172,8,21.5
100900,Coosa County,AL,-0.5837923488007664,0.0346484975914631,2019,821,12,68.41666666666667
3905000,Manchester Local,OH,0.45207999619957,0.0308543537093378,2019,999,10,99.9
3904371,Canton City,OH,-0.6703980042437464,0.0216107903302121,2019,7175,10,717.5
4212570,Johnsonburg Area SD,PA,0.1580900294165108,0.0395665198499373,2019,454,10,45.4
4832370,New Braunfels ISD,TX,0.1091934987572472,0.0206396556132548,2019,5545,8,693.125
